Fold,AUC,pAUC,PR-AUC,F1,Accuracy,TNR,FPR,TPR,thresholds
0,0.9999031508264462,0.016948605371900825,0.9999041003355579,0.9957203994293866,0.9957386363636364,1.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.005681818181818182, 0.005681818181818182, 0.011363636363636364, 0.011363636363636364, 0.017045454545454544, 0.017045454545454544, 1.0]","[0.0, 0.002840909090909091, 0.08522727272727272, 0.09090909090909091, 0.10511363636363637, 0.11079545454545454, 0.24431818181818182, 0.25, 0.35795454545454547, 0.36363636363636365, 0.3806818181818182, 0.38636363636363635, 0.9914772727272727, 0.9914772727272727, 0.9943181818181818, 0.9943181818181818, 0.9971590909090909, 0.9971590909090909, 1.0, 1.0]","[1.9999943999999998, 0.9999944, 0.9999695, 0.99996936, 0.99996364, 0.9999634, 0.9998925, 0.999892, 0.9997857, 0.9997832, 0.999754, 0.9997502, 0.5624325, 0.36654449, 0.34379676, 0.28440884, 0.2292559, 0.18864635, 0.12717798, 5.990535e-06]"
1,0.9996448863636364,0.09339488636363637,0.999666778676805,0.9914285714285714,0.9914772727272727,0.9971590909090909,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002840909090909091, 0.002840909090909091, 0.005681818181818182, 0.005681818181818182, 0.008522727272727272, 0.008522727272727272, 0.09375, 0.09375, 1.0]","[0.0, 0.002840909090909091, 0.23579545454545456, 0.24147727272727273, 0.29545454545454547, 0.30113636363636365, 0.9744318181818182, 0.9744318181818182, 0.9914772727272727, 0.9914772727272727, 0.9943181818181818, 0.9943181818181818, 0.9971590909090909, 0.9971590909090909, 1.0, 1.0]","[1.99995756, 0.99995756, 0.99960357, 0.99960166, 0.99945766, 0.999446, 0.5820244, 0.57698154, 0.366624, 0.3449519, 0.33710185, 0.32860863, 0.32256275, 0.0370919, 0.03699989, 3.6004843e-05]"
2,0.9999596461776858,0.005641464359504132,0.9999597029457936,0.9943181818181818,0.9943181818181818,0.9943181818181818,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002840909090909091, 0.002840909090909091, 0.005681818181818182, 0.005681818181818182, 1.0]","[0.0, 0.002840909090909091, 0.011363636363636364, 0.017045454545454544, 0.048295454545454544, 0.05397727272727273, 0.09943181818181818, 0.10511363636363637, 0.11931818181818182, 0.125, 0.14772727272727273, 0.1534090909090909, 0.1590909090909091, 0.16477272727272727, 0.18181818181818182, 0.19318181818181818, 0.2840909090909091, 0.2897727272727273, 0.3352272727272727, 0.3409090909090909, 0.9914772727272727, 0.9914772727272727, 0.9943181818181818, 0.9943181818181818, 1.0, 1.0]","[1.99999607, 0.99999607, 0.9999937, 0.9999932, 0.9999856, 0.99998546, 0.99997413, 0.99997354, 0.999972, 0.99997175, 0.99996126, 0.9999608, 0.9999579, 0.9999578, 0.9999547, 0.9999523, 0.9998976, 0.9998964, 0.9998512, 0.999851, 0.7043623, 0.66958916, 0.5368399, 0.50806737, 0.3519042, 1.4094482e-05]"
3,0.9993785511363636,0.005633393595041322,0.9994791734635734,0.9957203994293866,0.9957386363636364,1.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.005681818181818182, 0.005681818181818182, 0.20738636363636365, 0.20738636363636365, 1.0]","[0.0, 0.002840909090909091, 0.05965909090909091, 0.06534090909090909, 0.07670454545454546, 0.08238636363636363, 0.08522727272727272, 0.09090909090909091, 0.23579545454545456, 0.24147727272727273, 0.26136363636363635, 0.26704545454545453, 0.35511363636363635, 0.36079545454545453, 0.4375, 0.4431818181818182, 0.9914772727272727, 0.9914772727272727, 0.9971590909090909, 0.9971590909090909, 1.0, 1.0]","[1.99999475, 0.99999475, 0.9999752, 0.99997425, 0.99996996, 0.9999697, 0.99996877, 0.99996734, 0.9999187, 0.99991727, 0.99990845, 0.99990666, 0.9998379, 0.99982685, 0.9997385, 0.99972147, 0.5502296, 0.25841656, 0.22205558, 0.006921557, 0.0069115222, 1.4891699e-05]"
4,0.9999433436933437,0.0027842527842527843,0.9999427726890712,0.9985775248933144,0.9985775248933144,0.9971590909090909,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002840909090909091, 0.002840909090909091, 1.0]","[0.0, 0.002849002849002849, 0.005698005698005698, 0.011396011396011397, 0.037037037037037035, 0.042735042735042736, 0.05982905982905983, 0.06552706552706553, 0.07407407407407407, 0.09686609686609686, 0.10256410256410256, 0.1168091168091168, 0.1225071225071225, 0.2022792022792023, 0.20797720797720798, 0.23076923076923078, 0.23646723646723647, 0.32763532763532766, 0.3333333333333333, 0.39316239316239315, 0.39886039886039887, 0.98005698005698, 0.98005698005698, 1.0, 1.0]","[1.9999949, 0.9999949, 0.99999297, 0.99999094, 0.99998605, 0.9999852, 0.9999809, 0.99998033, 0.99997807, 0.9999732, 0.99997306, 0.99996805, 0.99996746, 0.9999298, 0.9999286, 0.99991965, 0.9999193, 0.99984396, 0.99983966, 0.9997665, 0.9997644, 0.8254633, 0.811932, 0.501332, 1.22905885e-05]"
5,0.999838124838125,0.028247215747215747,0.9998400976555839,0.9928469241773963,0.9928876244665719,0.9971590909090909,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002840909090909091, 0.002840909090909091, 0.008522727272727272, 0.008522727272727272, 0.014204545454545454, 0.014204545454545454, 0.028409090909090908, 0.028409090909090908, 1.0]","[0.0, 0.002849002849002849, 0.008547008547008548, 0.02849002849002849, 0.03418803418803419, 0.08262108262108261, 0.08831908831908832, 0.09686609686609686, 0.10256410256410256, 0.150997150997151, 0.15669515669515668, 0.18233618233618235, 0.18803418803418803, 0.32763532763532766, 0.3333333333333333, 0.9857549857549858, 0.9857549857549858, 0.9914529914529915, 0.9914529914529915, 0.9943019943019943, 0.9943019943019943, 0.9971509971509972, 0.9971509971509972, 1.0, 1.0]","[1.9999927, 0.9999927, 0.99999, 0.9999827, 0.9999815, 0.9999677, 0.9999676, 0.999966, 0.9999647, 0.999949, 0.99994826, 0.9999387, 0.99993515, 0.99984765, 0.9998474, 0.66485906, 0.6564118, 0.42826778, 0.28457296, 0.25888902, 0.23087193, 0.21000631, 0.11319071, 0.10297716, 2.4301145e-05]"
6,0.9999676249676249,0.005649443149443149,0.999967555329576,0.9957203994293866,0.9957325746799431,0.9971590909090909,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002840909090909091, 0.002840909090909091, 0.005681818181818182, 0.005681818181818182, 1.0]","[0.0, 0.002849002849002849, 0.039886039886039885, 0.045584045584045586, 0.09401709401709402, 0.09971509971509972, 0.22792022792022792, 0.2336182336182336, 0.9914529914529915, 0.9914529914529915, 0.9971509971509972, 0.9971509971509972, 1.0, 1.0]","[1.9999912, 0.9999912, 0.9999713, 0.99996793, 0.99994683, 0.9999461, 0.9998646, 0.999864, 0.68281966, 0.53885984, 0.3776678, 0.29224077, 0.24604644, 3.0403547e-05]"
7,0.9998300310800311,0.014075045325045325,0.99983163519373,0.9914285714285714,0.9914651493598862,0.9971509971509972,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.005698005698005698, 0.005698005698005698, 0.011396011396011397, 0.011396011396011397, 0.014245014245014245, 0.014245014245014245, 1.0]","[0.0, 0.002840909090909091, 0.23579545454545456, 0.24147727272727273, 0.2897727272727273, 0.29545454545454547, 0.9857954545454546, 0.9857954545454546, 0.9886363636363636, 0.9886363636363636, 0.9914772727272727, 0.9914772727272727, 1.0, 1.0]","[1.9999405000000001, 0.9999405, 0.99941766, 0.9994136, 0.99928266, 0.9992716, 0.63550425, 0.47788674, 0.42573407, 0.3359713, 0.2865878, 0.22330812, 0.17679179, 8.5027415e-05]"
8,0.9999838124838125,0.002832815332815333,0.9999838584059367,0.995732574679943,0.9957325746799431,0.9971509971509972,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002849002849002849, 0.002849002849002849, 1.0]","[0.0, 0.002840909090909091, 0.045454545454545456, 0.05113636363636364, 0.07386363636363637, 0.07954545454545454, 0.09090909090909091, 0.09659090909090909, 0.09943181818181818, 0.10511363636363637, 0.11363636363636363, 0.11931818181818182, 0.14488636363636365, 0.15056818181818182, 0.17045454545454544, 0.17897727272727273, 0.21022727272727273, 0.2159090909090909, 0.24431818181818182, 0.25, 0.29829545454545453, 0.3096590909090909, 0.9943181818181818, 0.9943181818181818, 1.0, 1.0]","[1.9999975, 0.9999975, 0.9999931, 0.99999297, 0.9999902, 0.9999893, 0.99998665, 0.9999863, 0.9999858, 0.9999846, 0.999984, 0.9999839, 0.9999796, 0.999979, 0.99997437, 0.9999732, 0.9999665, 0.9999659, 0.99996114, 0.9999609, 0.9999435, 0.9999416, 0.65799224, 0.6275847, 0.30293855, 1.0083812e-05]"
9,0.9999514374514374,0.008498445998446,0.999951642314613,0.9957446808510638,0.9957325746799431,0.9943019943019943,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002849002849002849, 0.002849002849002849, 0.008547008547008548, 0.008547008547008548, 1.0]","[0.0, 0.002840909090909091, 0.028409090909090908, 0.03409090909090909, 0.15056818181818182, 0.15625, 0.17329545454545456, 0.17897727272727273, 0.21022727272727273, 0.2159090909090909, 0.9886363636363636, 0.9886363636363636, 0.9971590909090909, 0.9971590909090909, 1.0, 1.0]","[1.9999820000000001, 0.999982, 0.9999722, 0.9999696, 0.99989843, 0.999894, 0.99988747, 0.9998864, 0.999864, 0.99986386, 0.6404186, 0.5580641, 0.54167634, 0.4508774, 0.39927438, 2.4083722e-05]"
